gene,rank_score
MGARP,0.110741354975429
TIPIN,0.110492193103545
AU021871,0.110448256995276
6330403A02RIK,0.110334309776674
RPP25,0.110321909053748
FAM216B,0.110265265080858
SERPINB9,0.11020466051689
MPP3,0.110107158957736
PER1,0.110085785025509
A230071A22RIK,0.110002613199552
RIN3,0.109950494944155
CCNG2,0.109843332055456
AK078363,0.109828189571133
CELSR2,0.10981660440166
RBAK,0.109754801686219
TIE1,0.109739027992711
4930486L24RIK,0.109685224701078
SERAC1,0.109561274963301
TRIM6,0.109529820823773
GM9958,0.109497462874206
C130071C03RIK,0.109438320947402
GMNN,0.109307269959436
SELPLG,0.109255914764025
4933406P04RIK,0.109163703035076
6430531B16RIK,0.109104808692467
WISP1,0.109065694713706
GTF2A1L,0.109026770829354
STRA6,0.108869360709988
ARL8A,0.108827790832428
ZC3H6,0.10879090958815
LOC102632463,0.108702160279507
ENKUR,0.108701380415607
MAG,0.108384308792078
9030425L15RIK,0.10831441362361
MYL9,0.108261205295815
NCAPH,0.108220719611952
PRSS50,0.108182211364833
MET,0.10815893969449
IRS3,0.108097311163697
CCL9,0.108054104217192
2700029L08RIK,0.108046178569427
1810019N24RIK,0.107967233116629
1700023B13RIK,0.107942409285834
KRT77,0.107928321396054
CCL25,0.107882375138849
SEMA7A,0.107882017743662
ATP11C,0.107701220206646
GM4876,0.10761287604284
PIK3R6,0.107513042273482
TRAF1,0.107441832064132
ZBTB46,0.10732908783001
D130037M23RIK,0.107286064139134
PARVG,0.107231602567584
VPREB1,0.107165746503984
TNKS1BP1,0.107084865740321
CLIP2,0.107021178017152
MAP2,0.106915466486379
2210406O10RIK,0.106802078452557
EHD1,0.106687802089846
1110017D15RIK,0.106616549529234
CHRNA6,0.106615241206941
RAB4A,0.106582098694764
ACBD7,0.106560717287754
PERP,0.106458559522983
KHK,0.10641318806528
HSPB1,0.106009594087357
CCDC57,0.105847792566463
DHRS7B,0.10584569929267
PRRX2,0.105774794276353
IL17RD,0.105587738024975
FGF15,0.105571853830382
RABAC1,0.105541928499711
HOXC4,0.105503259493323
CPA6,0.105417480684016
PLXNA4OS1,0.105366079661075
ARHGEF39,0.10521849392106
5730433K22RIK,0.105212967732825
RUVBL2,0.105114213492464
C76798,0.105111310669803
TMEM202,0.105104309387373
POLR3E,0.105040167004211
9330154F10RIK,0.104981203345336
EBF4,0.104970376033452
2810428I15RIK,0.104909610040325
FBXO44,0.104372528257968
GSG2,0.10429822461892
CDKN3,0.104208371473705
FMO5,0.104149453345639
LOC497255,0.104145911337563
RSPH10B,0.104117771220999
LGMN,0.104045004273891
THOP1,0.104036190495547
