probe	logFC	AveExpr	t	P.Value	adj.P.Val	B	gene	mean_expression	contrast
ILMN_2329735	-0.121922975163899	6.82480584717435	-0.465229485027152	0.652856804538422	0.987905485537429	-5.90399136860613	ECM1	6.82480584717435	exposure_corrected
ILMN_1746763	-7.28981847817028e-17	0.242698467483779	-1.11606769420742e-16	1	1	-6.01583611048958	ECM2	0.242698467483779	exposure_corrected
ILMN_3202002	0.218461540309049	0.0546153850772622	1.31558097795653	0.220951308045985	0.92651126452463	-5.19214123771889	ECRP	0.0546153850772622	exposure_corrected
ILMN_1658415	2.96100674746706	3.05492810086901	3.52260102488256	0.00652474119253128	0.541553518980096	-2.07342198392376	ECSCR	3.05492810086901	exposure_corrected
ILMN_2233604	-0.087140822435776	7.86707897950388	-0.386058607985276	0.70845203857536	0.997244406786427	-5.93851702127163	ECSIT	7.86707897950388	exposure_corrected
ILMN_1717173	-0.109264076792442	8.83893477317057	-0.473642493070262	0.647072339691097	0.987723419164058	-5.89996265650869	ECT2	8.83893477317057	exposure_corrected
ILMN_1706193	-0.0387460262938003	5.3844311943518	-0.139604872667307	0.892057046981488	1	-6.00564840831059	ECT2L	5.3844311943518	exposure_corrected
ILMN_2381655	0.496157493012276	3.76082458354689	0.346565109138237	0.736910522002194	1	-5.95342204266695	EDA	3.76082458354689	exposure_corrected
ILMN_1767233	2.08662438525573	4.70526033613687	2.97816811832766	0.0155549912748975	0.718490514788963	-2.86821025862007	EDA2R	4.70526033613687	exposure_corrected
ILMN_1767322	1.65764718526442	1.98779641859322	1.48793726573333	0.171060500217492	0.918143498815468	-4.9874446794252	EDAR	1.98779641859322	exposure_corrected
ILMN_1761820	-0.22005596878546	6.96359119218333	-1.16088975946864	0.275653581089898	0.930093178360232	-5.3615781394693	EDARADD	6.96359119218333	exposure_corrected
ILMN_1724581	-0.405788379918865	7.46808535482109	-1.63638700731877	0.136305556568411	0.918143498815468	-4.79969262011854	EDC3	7.46808535482109	exposure_corrected
ILMN_1665212	0.0185032605240489	9.76548790955446	0.0662028750179379	0.948668631994208	1	-6.0135430501378	EDC4	9.76548790955446	exposure_corrected
ILMN_1755674	0.36980176289409	3.64758447513311	0.240524661675255	0.815331664296215	1	-5.98566337603557	EDDM3A	3.64758447513312	exposure_corrected
ILMN_1764402	0.340062225581813	2.22823471080099	0.288416054421391	0.779583146296537	1	-5.97251602823806	EDDM3B	2.22823471080099	exposure_corrected
ILMN_1779828	-0.208608809784366	7.27694440267101	-0.903246991954913	0.390010818491118	0.939933576949712	-5.6082586927421	EDEM1	7.27694440267101	exposure_corrected
ILMN_1711909	0.385751056372079	7.54149122254467	1.23748649080712	0.247325515471771	0.927278322123013	-5.279502140959	EDEM2	7.54149122254467	exposure_corrected
ILMN_2065299	-0.263037546858581	7.08547428902557	-1.83740140522655	0.0994379763547829	0.918143498815468	-4.53166995003165	EDEM3	7.08547428902557	exposure_corrected
ILMN_1726169	0.130386983559857	13.6031094266983	0.546628217960003	0.597969072668109	0.978262788844205	-5.86216140891744	EDF1	13.6031094266983	exposure_corrected
ILMN_1689976	0.0151169202096638	7.63872798524831	0.0401466557668334	0.968855729660858	1	-6.01499271451533	EDIL3	7.63872798524831	exposure_corrected
ILMN_1682775	-0.508290798871633	3.57718021470631	-0.416631648959736	0.686742541582888	0.99315821051102	-5.92591432936791	EDN1	3.5771802147063	exposure_corrected
ILMN_1680814	-1.99003508783825	2.44184613837769	-1.60643016835577	0.142760916633769	0.918143498815468	-4.83834500595034	EDN2	2.44184613837769	exposure_corrected
ILMN_2358886	-1.73147033796124	3.67411177276357	-1.46788327714385	0.176311647121234	0.918143498815468	-5.01204040511646	EDN3	3.67411177276357	exposure_corrected
ILMN_1796629	-0.262177610150432	7.71686688501791	-1.5894435271217	0.146542427858063	0.918143498815468	-4.86009745284101	EDNRA	7.71686688501791	exposure_corrected
ILMN_1751904	-0.245366730723531	10.5771767965585	-1.03581379561495	0.327410043393917	0.933616999119228	-5.48728655695356	EDNRB	10.5771767965585	exposure_corrected
ILMN_1791656	-0.453593899783365	8.28778767273573	-1.1987251911699	0.26134930690716	0.927278322123013	-5.3214982886147	EDRF1	8.28778767273573	exposure_corrected
