gene	peptide_backbones	n_control	n_knockdown	log2_difference	ratio	standard_error	df	ci_low	ci_high	p_two_sided	FDR_BH
VBP1	8	5	5	0.299907337802	1.23106534127	0.151047889391	6.84875675055	-0.0588693464841	0.658684022088	0.0883737752085	0.208263603446
VCL	18	5	5	-0.158778897088	0.895782944453	0.212608678244	4.27119302923	-0.734583636504	0.417025842328	0.494197280708	0.628800780089
VCP	44	5	5	0.142685145314	1.1039578924	0.121583704791	5.55404159062	-0.160707046689	0.446077337317	0.288430576621	0.436653557852
VDAC1	17	5	5	-0.723786108491	0.605506306654	0.146683853217	6.325118309	-1.07828355514	-0.369288661843	0.00225492172676	0.0350281558816
VDAC2	12	5	5	-0.492414579865	0.710834407108	0.192987106932	6.73315428604	-0.95244856697	-0.0323805927604	0.0392833826904	0.128086977999
VDAC3	11	5	5	-0.505055393196	0.704633322206	0.209034595424	6.75506449901	-1.0030002268	-0.00711055959281	0.0476022529001	0.142847099593
VEZT	4	5	4	1.16657737391	2.24478515578	0.212535529287	4.84653933923	0.614992938887	1.71816180893	0.00301745879282	0.0380242761045
VGF	14	5	5	0.365452123483	1.28828529956	0.373120550816	4.56848860595	-0.621584711919	1.35248895888	0.37633442451	0.522383456366
VIM	18	5	5	0.334292807625	1.26075924778	0.174386545588	7.92282300423	-0.0685261585381	0.737111773789	0.0918990862252	0.212134722506
VIPAS39	2	5	4	-0.569662602688	0.673774342917	0.0968840428151	6.81473192726	-0.800025606145	-0.33929959923	0.000675614487881	0.0254749251597
VIRMA	5	5	4	0.272667729516	1.20803958491	0.186935417614	6.1992165793	-0.181207112499	0.72654257153	0.193401104408	0.335403076201
VKORC1L1	2	5	5	-0.638341372765	0.642451132952	0.573628542743	7.68844652175	-1.97051973901	0.693836993477	0.299368088235	0.446342063344
VMA21	2	5	4	-1.57647936954	0.335299126646	0.235485419409	3.97130427979	-2.23215909904	-0.920799640039	0.00265711869386	0.0361879126729
VMP1	3	5	5	-0.474996363658	0.719468603438	0.164146964156	6.96830971378	-0.86350038039	-0.0864923469266	0.0233084949463	0.0977907353137
VPS11	8	5	5	-0.104880213063	0.929882147502	0.175678274323	4.53709401048	-0.570692133402	0.360931707275	0.579036404982	0.702210088023
VPS13A	3	5	5	0.00434294793061	1.00301483762	0.189544830661	4.81236046097	-0.488667568978	0.49735346484	0.982639577215	0.988501915602
VPS13C	5	5	4	-0.335406537371	0.792560769257	0.106253597187	6.39378430154	-0.591567110834	-0.0792459639087	0.0180420354503	0.0855245616191
VPS18	7	5	4	-0.0830711438494	0.944045864119	0.0644444025103	6.97918498326	-0.235550121579	0.0694078338805	0.238462844093	0.38504192017
VPS25	5	5	4	-0.129805212342	0.913954840898	0.182290323848	3.62353930258	-0.657351690385	0.397741265701	0.519560599108	0.652062247996
VPS26A	8	5	5	-0.50123151018	0.706503439793	0.0937223399574	6.81424275506	-0.724080218233	-0.278382802128	0.00116368990684	0.0269047746188
VPS26B	7	5	5	-0.668200734159	0.629291022168	0.132572603512	7.39162135367	-0.978349407214	-0.358052061103	0.00127113501083	0.028051731753
VPS28	3	5	4	-0.149680930992	0.901449806813	0.126999003476	5.91185514551	-0.461562888386	0.162201026402	0.283809418408	0.431873292042
VPS29	9	5	5	-0.310731777228	0.806232710618	0.173276694432	7.38318065753	-0.71619443784	0.0947308833838	0.113809084179	0.241750430162
VPS33A	4	5	4	0.113536299353	1.08187685957	0.0852376910757	6.23105318556	-0.0931723585792	0.320244957286	0.229510403514	0.37670197127
VPS33B	4	5	5	0.388680682513	1.30919562149	0.310955282953	7.54610766105	-0.335960823304	1.11332218833	0.248685766607	0.395918493348
